Date,sp500,bonds,cpi
1962-01-02,70.959999,4.06,30.04
1962-01-03,71.129997,4.03,30.04
1962-01-04,70.639999,3.99,30.04
1962-01-05,69.660004,4.02,30.04
1962-01-08,69.120003,4.03,30.04
1962-01-09,69.150002,4.05,30.04
1962-01-10,68.959999,4.07,30.04
1962-01-11,69.370003,4.08,30.04
1962-01-12,69.610001,4.08,30.04
1962-01-15,69.470001,4.1,30.04
1962-01-16,69.07,4.13,30.04
1962-01-17,68.32,4.12,30.04
1962-01-18,68.389999,4.11,30.04
1962-01-19,68.75,4.11,30.04
1962-01-22,68.809998,4.09,30.04
1962-01-23,68.290001,4.11,30.04
1962-01-24,68.400002,4.1,30.04
1962-01-25,68.349998,4.11,30.04
1962-01-26,68.129997,4.11,30.04
1962-01-29,67.900002,4.12,30.04
1962-01-30,68.169998,4.11,30.04
1962-01-31,68.839996,4.1,30.04
1962-02-01,69.260002,4.09,30.11
1962-02-02,69.809998,4.08,30.11
1962-02-05,69.879997,4.07,30.11
1962-02-06,69.959999,4.06,30.11
1962-02-07,70.419998,4.07,30.11
1962-02-08,70.580002,4.07,30.11
1962-02-09,70.480003,4.05,30.11
1962-02-12,70.459999,4.05,30.11
1962-02-13,70.449997,4.03,30.11
1962-02-14,70.419998,4.03,30.11
1962-02-15,70.739998,4.02,30.11
1962-02-16,70.589996,4.02,30.11
1962-02-19,70.410004,4.01,30.11
1962-02-20,70.660004,4.05,30.11
1962-02-21,70.32,4.03,30.11
1962-02-23,70.160004,4.02,30.11
1962-02-26,69.760002,4.0,30.11
1962-02-27,69.889999,4.01,30.11
1962-02-28,69.959999,4.0,30.11
1962-03-01,70.199997,3.98,30.17
1962-03-02,70.160004,3.98,30.17
1962-03-05,70.010002,4.0,30.17
1962-03-06,69.779999,4.01,30.17
1962-03-07,69.690002,4.0,30.17
1962-03-08,70.190002,3.98,30.17
1962-03-09,70.419998,3.96,30.17
1962-03-12,70.400002,3.94,30.17
1962-03-13,70.599998,3.92,30.17
1962-03-14,70.910004,3.93,30.17
1962-03-15,71.059998,3.96,30.17
1962-03-16,70.940002,3.96,30.17
1962-03-19,70.849998,3.93,30.17
1962-03-20,70.660004,3.91,30.17
1962-03-21,70.510002,3.86,30.17
1962-03-22,70.400002,3.83,30.17
